1.16,0.4,0.28,0.34,0.2
1.36,0.47,0.32,0.4,0.23
1.56,0.53,0.37,0.46,0.25
1.75,0.6,0.41,0.51,0.28
1.94,0.67,0.46,0.57,0.31
2.71,1.14,0.88,1.08,1.02
2.71,1.14,0.88,1.08,1.01
4.06,1.71,1.34,1.62,1.6
4.06,1.71,1.34,1.62,1.6
5.42,2.29,1.78,2.16,2.15
5.91,2.3,1.78,2.16,2.16
7.39,2.87,2.23,2.72,2.76
7.38,2.87,2.23,2.78,2.86
9.37,3.46,2.68,3.26,3.33
9.36,3.46,2.68,3.26,3.33
1.5,0.48,0.36,0.54,0.36
1.42,0.47,0.35,0.53,0.35
2.12,0.7,0.52,0.79,0.52
2.11,0.7,0.52,0.79,0.52
2.89,0.93,0.69,1.04,0.73
2.89,0.93,0.69,1.04,0.73
4.03,1.2,0.9,1.33,0.95
4.01,1.16,0.86,1.31,0.92
4.94,1.39,1.04,1.55,1.09
4.94,1.39,1.04,1.56,1.09
5.83,1.68,1.26,1.85,1.29
5.82,1.62,1.21,1.81,1.26
0.31,0.2,0.18,0.16,0.1
0.44,0.38,0.33,0.28,0.15
0.44,0.38,0.33,0.28,0.15
1.55,1.01,0.68,0.66,0.35
12.85,4.09,3.42,3.9,3.5
1.13,1.61,1.23,0.32,0.24
1.78,4.99,3.81,0.68,0.48
13.58,4.84,3.72,4.25,4.33
17,6.98,5.24,4.3,4.74
29.34,15.69,11.91,11.55,6.84
1.68,0.48,0.31,0.4,0.34
3.33,2.6,2.09,0.81,0.75
5.93,1.85,1.56,1.95,1.69
4.89,5.05,4.12,1.34,1.35
1.75,1.16,1.01,0.45,0.4
13.44,4.44,3.39,3.95,3.25
13.45,4.44,3.39,3.96,3.26
13.71,4.44,3.39,3.95,3.26
0.31,0.17,0.15,0.18,0.06
0.28,0.78,0.56,0.16,0.1
0.28,0.78,0.56,0.16,0.1
0.04,0.09,0.08,0.1,0.02
0.04,0.09,0.08,0.1,0.02
3.27,1.16,0.89,1.14,1.01
1.63,2.69,1.96,0.62,0.5
1.63,2.69,1.96,0.62,0.49
8.39,3.19,2.64,2.26,2.01
1.4,2.44,1.86,0.65,0.53
1.37,2.59,1.99,0.63,0.5
1.18,2.68,2.05,0.52,0.42
1.17,1.43,1.08,0.76,0.25
7.14,5.21,3.89,2.03,2.39
42.76,5.72,4.13,2.14,1.94
2.03,4.97,3.59,0.72,0.47
1.89,9.52,6.94,0.92,0.54
1.72,0.57,0.45,0.49,0.39
0.18,0.09,0.07,0.1,0.06
0.18,0.11,0.08,0.08,0.06
0.27,0.3,0.22,0.16,0.08
0.6,0.87,0.66,0.45,0.18
1.53,2.95,2.23,1.51,0.71
0.03,0.05,0.03,0.04,0.01
0.03,0.05,0.05,0.06,0.01
0.06,0.06,0.04,0.05,0.04
0.08,0.08,0.07,0.08,0.07
0.98,0.24,0.18,0.21,0.18
0.41,0.14,0.1,0.12,0.13
0.83,0.45,0.36,0.35,0.26
0.77,0.2,0.14,0.17,0.17
0.98,0.28,0.2,0.22,0.2
0.92,0.31,0.23,0.24,0.23
31.01,5.85,5.33,7.05,6.56
44.21,8.26,7.24,9.36,8.17
70.04,13.24,11.11,13.38,11.62
0.14,0.2,0.17,0.19,0.11
0.11,0.15,0.14,0.16,0.08
0.13,0.18,0.16,0.19,0.09
0.13,0.17,0.15,0.18,0.06
0.2,0.47,0.44,0.5,0.12
0.26,0.11,0.08,0.09,0.07
5.64,2.22,1.71,1.29,1.23
5.86,1.88,1.56,1.88,1.63
0.97,1.15,0.85,0.29,0.26
8.67,2.94,2.82,3.28,3.01
0.96,1.76,1.3,0.34,0.27
2.92,1.07,0.92,0.98,0.95
